128 0 0 0.0 0.0 17.29 -0.0773315 0.0343087  {'room_id': 63, 'explored_rooms': 1, 'raw_score': 0.0} 
256 1 1 0.1 0.1 21.74 -0.1012362 0.0286341  {'room_id': 63, 'explored_rooms': 1, 'raw_score': 0.1} 
384 2 2 0.19 0.19 21.91 -0.0800416 0.0264692  {'room_id': 63, 'explored_rooms': 1, 'raw_score': 0.19} 
512 2 2 0.19 0.19 18.31 -0.0800278 0.026497  {'room_id': 63, 'explored_rooms': 1, 'raw_score': 0.19} 
640 3 3 0.271 0.271 17.77 -0.0524515 0.0286501  {'room_id': 63, 'explored_rooms': 1, 'raw_score': 0.271} 
768 3 3 0.271 0.271 16.63 -0.0630133 0.028323  {'room_id': 63, 'explored_rooms': 1, 'raw_score': 0.271} 
896 4 4 0.5439 0.5439 18.74 -0.058753 0.0327117  {'room_id': 63, 'explored_rooms': 1, 'raw_score': 0.5439} 
1024 5 5 0.6895100000000001 0.6895100000000001 22.8 -0.043545 0.0313889  {'room_id': 63, 'explored_rooms': 1, 'raw_score': 0.6895100000000001} 
1152 6 6 0.6205590000000001 0.6205590000000001 20.26 -0.0388643 0.0320756  {'room_id': 63, 'explored_rooms': 1, 'raw_score': 0.6205590000000001} 
1280 6 6 0.6205590000000001 0.6205590000000001 22.04 -0.0394474 0.0293664  {'room_id': 63, 'explored_rooms': 1, 'raw_score': 0.6205590000000001} 
1408 7 7 0.8585031000000002 0.8585031000000002 22.72 -0.0306469 0.0271599  {'room_id': 63, 'explored_rooms': 1, 'raw_score': 0.8585031000000002} 
1536 7 7 0.8585031000000002 0.8585031000000002 22.62 -0.028276 0.0320534  {'room_id': 63, 'explored_rooms': 1, 'raw_score': 0.8585031000000002} 
1664 8 8 0.9726527900000002 0.9726527900000002 22.49 -0.0358192 0.0326628  {'room_id': 63, 'explored_rooms': 1, 'raw_score': 0.9726527900000002} 
