128 0 0 0.0 0.0 21.34 -0.9168827 0.7990734  {'room_id': 51, 'explored_rooms': 6, 'raw_score': 0.0} 
256 0 0 0.0 0.0 21.31 -0.5379478 0.6407208  {'room_id': 113, 'explored_rooms': 7, 'raw_score': 0.0} 
384 0 0 0.0 0.0 21.83 -0.3826008 0.6253996  {'room_id': 113, 'explored_rooms': 8, 'raw_score': 0.0} 
512 1 1 19.0 1.9000000000000001 22.59 -0.2492135 0.8656897  {'room_id': 115, 'explored_rooms': 8, 'raw_score': 19.0} 
640 1 1 19.0 1.9000000000000001 37.33 -0.5046057 1.1415332  {'room_id': 16, 'explored_rooms': 9, 'raw_score': 19.0} 
768 1 1 19.0 1.9000000000000001 28.56 -0.3429472 0.7703142  {'room_id': 115, 'explored_rooms': 9, 'raw_score': 19.0} 
896 2 2 42.1 4.21 41.14 -0.1487323 0.7728094  {'room_id': 115, 'explored_rooms': 11, 'raw_score': 42.1} 
1024 2 2 42.1 4.21 41.1 -0.1455616 0.9679011  {'room_id': 120, 'explored_rooms': 11, 'raw_score': 42.1} 
1152 2 2 42.1 4.21 37.62 -0.2853541 1.1704052  {'room_id': 113, 'explored_rooms': 13, 'raw_score': 42.1} 
1280 2 2 42.1 4.21 32.23 -0.2488219 1.0262201  {'room_id': 210, 'explored_rooms': 21, 'raw_score': 42.1} 
1408 2 2 42.1 4.21 34.61 -0.0814548 0.9246149  {'room_id': 114, 'explored_rooms': 24, 'raw_score': 42.1} 
1536 3 3 65.89 6.189 38.98 0.0025805 1.1426443  {'room_id': 115, 'explored_rooms': 26, 'raw_score': 65.89} 
1664 3 3 65.89 6.189 39.25 0.1007046 1.4822261  {'room_id': 240, 'explored_rooms': 26, 'raw_score': 65.89} 
1792 3 3 65.89 6.189 40.7 0.0951242 1.5416307  {'room_id': 82, 'explored_rooms': 32, 'raw_score': 65.89} 
1920 3 3 65.89 6.189 40.38 0.1235256 1.628601  {'room_id': 112, 'explored_rooms': 32, 'raw_score': 65.89} 
2048 3 3 65.89 6.189 42.55 0.1106929 1.3570621  {'room_id': 115, 'explored_rooms': 32, 'raw_score': 65.89} 
2176 4 4 113.301 8.6701 43.35 0.1263643 1.3528198  {'room_id': 115, 'explored_rooms': 32, 'raw_score': 113.301} 
2304 4 4 113.301 8.6701 40.09 0.0470248 1.4223891  {'room_id': 115, 'explored_rooms': 32, 'raw_score': 113.301} 
2432 4 4 113.301 8.6701 42.93 -0.0278422 1.4897079  {'room_id': 0, 'explored_rooms': 32, 'raw_score': 113.301} 
2560 4 4 113.301 8.6701 40.48 -0.0509866 1.7645293  {'room_id': 51, 'explored_rooms': 34, 'raw_score': 113.301} 
2688 4 4 113.301 8.6701 42.93 -0.0636022 1.8245418  {'room_id': 64, 'explored_rooms': 38, 'raw_score': 113.301} 
2816 4 4 113.301 8.6701 41.94 0.0554456 1.6658863  {'room_id': 81, 'explored_rooms': 42, 'raw_score': 113.301} 
2944 5 5 181.9709 13.103090000000002 41.99 0.0057397 1.6496578  {'room_id': 115, 'explored_rooms': 43, 'raw_score': 181.9709} 
3072 5 5 181.9709 13.103090000000002 41.99 -0.1147872 1.8638156  {'room_id': 161, 'explored_rooms': 45, 'raw_score': 181.9709} 
3200 5 5 181.9709 13.103090000000002 42.16 -0.1093148 1.6281509  {'room_id': 34, 'explored_rooms': 45, 'raw_score': 181.9709} 
3328 5 5 181.9709 13.103090000000002 39.5 -0.0575251 1.6819869  {'room_id': 17, 'explored_rooms': 45, 'raw_score': 181.9709} 
3456 5 5 181.9709 13.103090000000002 39.63 -0.0291533 1.4577233  {'room_id': 30, 'explored_rooms': 49, 'raw_score': 181.9709} 
3584 5 5 181.9709 13.103090000000002 37.71 -0.0165067 1.577336  {'room_id': 51, 'explored_rooms': 49, 'raw_score': 181.9709} 
3712 6 6 212.77381 14.392781000000001 35.65 -0.0475775 1.7197846  {'room_id': 115, 'explored_rooms': 51, 'raw_score': 212.77381} 
3840 6 6 212.77381 14.392781000000001 35.32 -0.2443782 2.0107551  {'room_id': 131, 'explored_rooms': 53, 'raw_score': 212.77381} 
3968 6 6 212.77381 14.392781000000001 35.09 -0.1174154 1.9328132  {'room_id': 45, 'explored_rooms': 55, 'raw_score': 212.77381} 
4096 6 6 212.77381 14.392781000000001 38.8 -0.1088044 1.6973607  {'room_id': 113, 'explored_rooms': 55, 'raw_score': 212.77381} 
4224 7 7 238.496429 15.353502900000002 40.25 -0.1751876 1.8434063  {'room_id': 115, 'explored_rooms': 55, 'raw_score': 238.496429} 
4352 7 7 238.496429 15.353502900000002 40.88 -0.0049525 2.141022  {'room_id': 33, 'explored_rooms': 55, 'raw_score': 238.496429} 
