128 0 0 0.0 0.0 44.63 -0.2856268 0.1233348  {'room_id': 100, 'explored_rooms': 9, 'raw_score': 0.0} 
256 0 0 0.0 0.0 42.57 -0.2853655 0.1164545  {'room_id': 194, 'explored_rooms': 14, 'raw_score': 0.0} 
384 0 0 0.0 0.0 41.83 -0.1193451 0.0800997  {'room_id': 178, 'explored_rooms': 19, 'raw_score': 0.0} 
512 0 0 0.0 0.0 42.51 -0.1365509 0.105158  {'room_id': 178, 'explored_rooms': 19, 'raw_score': 0.0} 
640 1 1 21.0 1.2000000000000002 40.07 -0.1354025 0.1346166  {'room_id': 3, 'explored_rooms': 21, 'raw_score': 21.0} 
768 1 1 21.0 1.2000000000000002 40.23 -0.1077067 0.1044353  {'room_id': 210, 'explored_rooms': 21, 'raw_score': 21.0} 
896 1 1 21.0 1.2000000000000002 41.76 -0.1047695 0.0949716  {'room_id': 194, 'explored_rooms': 21, 'raw_score': 21.0} 
1024 1 1 21.0 1.2000000000000002 42.4 -0.1256986 0.1206657  {'room_id': 83, 'explored_rooms': 21, 'raw_score': 21.0} 
1152 2 2 34.400000000000006 2.08 44.0 -0.0924463 0.1151589  {'room_id': 68, 'explored_rooms': 23, 'raw_score': 34.400000000000006} 
1280 2 2 34.400000000000006 2.08 40.9 -0.0640626 0.1135474  {'room_id': 88, 'explored_rooms': 30, 'raw_score': 34.400000000000006} 
1408 2 2 34.400000000000006 2.08 40.51 -0.0579326 0.1116879  {'room_id': 3, 'explored_rooms': 32, 'raw_score': 34.400000000000006} 
1536 2 2 34.400000000000006 2.08 36.62 -0.123161 0.1402968  {'room_id': 148, 'explored_rooms': 37, 'raw_score': 34.400000000000006} 
1664 3 3 42.96000000000001 2.7720000000000002 37.02 -0.1017161 0.1331098  {'room_id': 115, 'explored_rooms': 38, 'raw_score': 42.96000000000001} 
1792 3 3 42.96000000000001 2.7720000000000002 35.47 -0.0788639 0.111667  {'room_id': 100, 'explored_rooms': 39, 'raw_score': 42.96000000000001} 
1920 3 3 42.96000000000001 2.7720000000000002 36.21 -0.1504365 0.1457468  {'room_id': 244, 'explored_rooms': 39, 'raw_score': 42.96000000000001} 
2048 3 3 42.96000000000001 2.7720000000000002 40.03 -0.0865611 0.1242274  {'room_id': 163, 'explored_rooms': 41, 'raw_score': 42.96000000000001} 
2176 3 3 42.96000000000001 2.7720000000000002 40.58 -0.0800276 0.1543399  {'room_id': 177, 'explored_rooms': 46, 'raw_score': 42.96000000000001} 
2304 4 4 64.66400000000002 4.4948 41.86 -0.0826409 0.1624257  {'room_id': 68, 'explored_rooms': 99, 'raw_score': 64.66400000000002} 
2432 4 4 64.66400000000002 4.4948 41.58 -0.0593208 0.1490758  {'room_id': 162, 'explored_rooms': 99, 'raw_score': 64.66400000000002} 
2560 4 4 64.66400000000002 4.4948 43.24 -0.0446851 0.1448573  {'room_id': 103, 'explored_rooms': 100, 'raw_score': 64.66400000000002} 
2688 4 4 64.66400000000002 4.4948 40.33 -0.0119781 0.1537061  {'room_id': 3, 'explored_rooms': 102, 'raw_score': 64.66400000000002} 
2816 4 4 64.66400000000002 4.4948 41.68 -0.0455652 0.1461413  {'room_id': 54, 'explored_rooms': 104, 'raw_score': 64.66400000000002} 
2944 5 5 71.69760000000002 5.24532 39.51 -0.0315229 0.1604636  {'room_id': 227, 'explored_rooms': 105, 'raw_score': 71.69760000000002} 
3072 5 5 71.69760000000002 5.24532 40.61 -0.0073081 0.1490841  {'room_id': 36, 'explored_rooms': 105, 'raw_score': 71.69760000000002} 
3200 5 5 71.69760000000002 5.24532 41.51 -0.0117939 0.1818693  {'room_id': 67, 'explored_rooms': 108, 'raw_score': 71.69760000000002} 
3328 5 5 71.69760000000002 5.24532 41.13 0.0090936 0.1521551  {'room_id': 198, 'explored_rooms': 108, 'raw_score': 71.69760000000002} 
3456 6 6 84.02784000000003 6.220788000000001 41.0 0.025329 0.1682087  {'room_id': 210, 'explored_rooms': 108, 'raw_score': 84.02784000000003} 
3584 6 6 84.02784000000003 6.220788000000001 40.24 -0.0035933 0.1636405  {'room_id': 86, 'explored_rooms': 109, 'raw_score': 84.02784000000003} 
3712 6 6 84.02784000000003 6.220788000000001 37.99 -0.0365909 0.1520966  {'room_id': 162, 'explored_rooms': 144, 'raw_score': 84.02784000000003} 
3840 7 7 91.12505600000003 6.598709200000001 36.38 -0.0139777 0.1661427  {'room_id': 99, 'explored_rooms': 144, 'raw_score': 91.12505600000003} 
3968 7 7 91.12505600000003 6.598709200000001 34.23 -0.0459228 0.1467487  {'room_id': 68, 'explored_rooms': 144, 'raw_score': 91.12505600000003} 
4096 7 7 91.12505600000003 6.598709200000001 35.52 -0.0294687 0.1390088  {'room_id': 151, 'explored_rooms': 152, 'raw_score': 91.12505600000003} 
4224 7 7 91.12505600000003 6.598709200000001 37.61 -0.077098 0.1503336  {'room_id': 167, 'explored_rooms': 152, 'raw_score': 91.12505600000003} 
4352 7 7 91.12505600000003 6.598709200000001 37.49 -0.0098166 0.137878  {'room_id': 210, 'explored_rooms': 152, 'raw_score': 91.12505600000003} 
4480 7 7 91.12505600000003 6.598709200000001 38.51 -0.0266595 0.1353924  {'room_id': 120, 'explored_rooms': 152, 'raw_score': 91.12505600000003} 
4608 7 7 91.12505600000003 6.598709200000001 40.14 -0.0090318 0.1459184  {'room_id': 35, 'explored_rooms': 152, 'raw_score': 91.12505600000003} 
4736 8 8 133.0125504 9.03883828 40.82 -0.0650486 0.159466  {'room_id': 3, 'explored_rooms': 152, 'raw_score': 133.0125504} 
4864 8 8 133.0125504 9.03883828 40.48 -0.0386639 0.150001  {'room_id': 178, 'explored_rooms': 152, 'raw_score': 133.0125504} 
4992 8 8 133.0125504 9.03883828 40.89 -0.0443664 0.136759  {'room_id': 183, 'explored_rooms': 152, 'raw_score': 133.0125504} 
5120 9 9 134.21129536 9.334954452000002 41.12 -0.0040673 0.1536498  {'room_id': 146, 'explored_rooms': 152, 'raw_score': 134.21129536} 
5248 9 9 134.21129536 9.334954452000002 39.44 -0.0509761 0.1363372  {'room_id': 210, 'explored_rooms': 152, 'raw_score': 134.21129536} 
