128 0 0 0.0 0.0 27.65 0.1705257 0.0043046 -2.5437682 0.6711208 0.099965 1.2399172 0.0 0.5411874 0.0728083 49.0436397 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 28.15 0.0352972 0.0094349 -0.1636654 0.113784 0.094938 1.2087134 0.0 0.5217203 0.1222553 79.8116996 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
384 0 0 0.0 0.0 28.32 0.0216527 0.0154465 0.0708317 0.1014359 0.0562743 1.1496377 0.0 0.5634619 0.16175 87.7737935 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
512 0 0 0.0 0.0 29.47 0.0124831 0.0095434 0.1955485 0.076943 0.0377122 1.1131511 0.0 0.583889 0.1791262 91.6012735 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
640 0 0 0.0 0.0 40.3 0.0087254 0.0065022 0.1919391 0.0498559 0.026205 1.0832584 0.0 0.6298613 0.1857333 93.3218338 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
768 0 0 0.0 0.0 40.26 0.0065163 0.0048845 0.1837116 0.0358199 0.0214894 1.0674411 0.0 0.6718631 0.1880314 93.7366843 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
896 1 1 0.0 0.0 40.21 0.0050018 0.0033603 0.1711764 0.0260991 0.0176673 1.0498209 0.0 0.7164569 0.1882261 95.0103457 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1024 1 1 0.0 0.0 40.25 0.0043886 0.0026613 0.1360263 0.018752 0.0155773 1.037897 0.0 0.7574585 0.1903175 94.7093918 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1152 2 2 0.0 0.0 40.26 0.0039593 0.0023972 0.1197555 0.0126865 0.0145485 1.0273753 0.0 0.7948923 0.1853143 95.6954602 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1280 2 2 0.0 0.0 40.3 0.0036624 0.0021379 0.1038734 0.010272 0.0137507 1.0131898 0.0 0.838136 0.1903864 95.6162262 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1408 2 2 0.0 0.0 40.76 0.0034196 0.0019039 0.0833532 0.0077318 0.013316 1.0084328 0.0 0.845582 0.1825811 96.2629911 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1536 3 3 0.0 0.0 40.42 0.0033567 0.0019306 0.068335 0.0060444 0.0126525 1.0103161 0.0 0.8755894 0.1781783 96.2253904 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1664 3 3 0.0 0.0 39.79 0.003367 0.0017333 0.058088 0.0050681 0.0121838 1.0063245 0.0 0.9065713 0.1803051 96.0992554 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1792 3 3 0.0 0.0 39.98 0.0030547 0.0014837 0.0519825 0.0036234 0.0116237 1.0226864 0.0 0.9118637 0.190267 96.1832748 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
1920 3 3 0.0 0.0 40.0 0.002877 0.0014841 0.0464301 0.0032479 0.0111491 1.0159942 0.0 0.9402971 0.1971705 96.2691946 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2048 3 3 0.0 0.0 39.88 0.002692 0.0015961 0.04135 0.0026945 0.0111475 1.0114048 0.0 1.0059033 0.1909916 96.2514741 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2176 3 3 0.0 0.0 40.15 0.0027682 0.0016038 0.0298059 0.0022929 0.0109602 1.0131038 0.0 1.0449369 0.1951149 95.8013098 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2304 3 3 0.0 0.0 39.67 0.0028754 0.0016941 0.0243901 0.0019081 0.0108141 1.0024036 0.0 1.0481193 0.1944254 96.4104683 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2432 3 3 0.0 0.0 39.53 0.0028915 0.0017249 0.0199847 0.0017317 0.0107508 0.9894516 0.0 1.0468267 0.185884 96.2793361 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2560 3 3 0.0 0.0 39.97 0.0028278 0.0018954 0.0161795 0.0015017 0.0109311 0.984591 0.0 1.1264009 0.1854791 96.2009971 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2688 3 3 0.0 0.0 39.74 0.0026412 0.0018512 0.0134853 0.0014439 0.0106191 0.9767139 0.0 1.115402 0.1883493 96.600479 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2816 4 4 0.0 0.0 39.67 0.0027581 0.0016672 0.0115288 0.0013496 0.0104899 0.9801235 0.0 1.1455056 0.1931595 95.9571674 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
2944 4 4 0.0 0.0 39.66 0.0026519 0.0017641 0.0093849 0.0011392 0.0103383 0.9736957 0.0 1.1753763 0.1953197 96.3476323 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3072 4 4 0.0 0.0 39.23 0.0027599 0.001764 0.0065682 0.0010925 0.0101381 0.9667394 0.0 1.1768034 0.1921732 96.092497 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3200 4 4 0.0 0.0 39.1 0.0025752 0.0017265 0.0044742 0.000983 0.0102804 0.9538457 0.0 1.1898284 0.186184 96.2477786 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3328 4 4 0.0 0.0 39.22 0.0025976 0.0016685 0.0031308 0.0009678 0.0097457 0.9565569 0.0 1.187023 0.1863893 96.8630037 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3456 4 4 0.0 0.0 39.36 0.0024895 0.0016132 0.0044418 0.0008462 0.0096459 0.9556031 0.0 1.2270438 0.185408 96.4687745 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3584 4 4 0.0 0.0 40.56 0.002419 0.0015471 0.0032388 0.0008825 0.0096889 0.9568737 0.0 1.2793427 0.1879666 96.0966525 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3712 5 5 0.0 0.0 39.57 0.002555 0.0015472 0.0013496 0.0008144 0.0096383 0.941845 0.0 1.3147168 0.1792725 96.5367037 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3840 5 5 0.0 0.0 39.46 0.0024647 0.0012802 0.0004022 0.0007848 0.0091891 0.9447064 0.0 1.3269115 0.188457 96.4426017 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
3968 5 5 0.0 0.0 39.41 0.0024078 0.0016258 0.0010017 0.000868 0.009747 0.9413381 0.0 1.3173799 0.1782074 97.0919009 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4096 5 5 0.0 0.0 39.34 0.0024162 0.0015447 0.0008081 0.0007585 0.0093581 0.9356149 0.0 1.322351 0.1747966 96.4448611 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4224 5 5 0.0 0.0 39.11 0.002366 0.0016815 0.0004461 0.000734 0.0093599 0.9375093 0.0 1.3628515 0.1808619 96.8497111 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4352 5 5 0.0 0.0 39.66 0.0024335 0.0016808 -0.0021063 0.0008559 0.0096634 0.9314335 0.0 1.4047593 0.1727853 96.3203161 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4480 6 6 0.0 0.0 39.05 0.0024453 0.0017411 -0.0032462 0.0007707 0.009518 0.931211 0.0 1.3742573 0.1699506 96.6870888 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4608 6 6 0.0 0.0 39.55 0.0024945 0.0015925 -0.0039168 0.0007806 0.0095469 0.92579 0.0 1.4181331 0.1697272 96.2646044 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4736 6 6 0.0 0.0 39.74 0.0025864 0.0016962 -0.0024422 0.0008255 0.009547 0.9196974 0.0 1.4339659 0.1800275 96.0305236 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4864 6 6 0.0 0.0 39.31 0.0024107 0.0014886 -0.0030837 0.0007295 0.0096541 0.919059 0.0 1.4383752 0.1761091 96.401095 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
4992 6 6 0.0 0.0 39.12 0.0023598 0.0015391 -0.0031142 0.0007089 0.0091307 0.9266547 0.0 1.4299352 0.1691063 95.9900412 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5120 6 6 0.0 0.0 39.09 0.0024996 0.0021827 -0.0048885 0.0008947 0.0093437 0.9214536 0.0 1.4568441 0.1685539 96.5807031 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5248 6 6 0.0 0.0 39.3 0.002413 0.0018562 -0.0057871 0.0007963 0.0095679 0.9139472 0.0 1.5211065 0.1731694 96.3544025 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5376 6 6 0.0 0.0 39.39 0.0022997 0.0014313 -0.0038518 0.0006181 0.00918 0.9132309 0.0 1.5659948 0.1760812 96.9248118 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5504 6 6 0.0 0.0 39.74 0.0024474 0.0017495 -0.0066311 0.0006648 0.0093551 0.9160676 0.0 1.6156497 0.1883415 96.6196293 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5632 7 7 0.0 0.0 39.36 0.0023066 0.0013949 -0.0058974 0.0005949 0.0089217 0.9275878 0.0 1.5857763 0.188829 96.599849 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5760 7 7 0.0 0.0 39.38 0.0023365 0.0016997 -0.005459 0.0006808 0.0089866 0.9244473 0.0 1.5947253 0.2075067 96.7671308 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
5888 7 7 0.0 0.0 39.39 0.0023496 0.0016708 -0.004462 0.000604 0.0092479 0.9189453 0.0 1.6150357 0.2026483 96.8754086 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6016 8 8 0.0 0.0 39.84 0.0024594 0.0018087 -0.0059839 0.0006422 0.0090209 0.9125195 0.0 1.7106613 0.1897788 96.667201 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6144 8 8 0.0 0.0 39.53 0.0023636 0.0016311 -0.0056504 0.0006793 0.0090486 0.9036551 0.0 1.7335145 0.1835846 96.5386639 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6272 8 8 0.0 0.0 39.55 0.0023333 0.0016403 -0.006213 0.0006359 0.009004 0.9071956 0.0 1.7401751 0.1885436 96.9003682 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6400 8 8 0.0 0.0 39.69 0.0024289 0.0025758 -0.0079002 0.0009383 0.0093805 0.9106935 0.0 1.8640481 0.1904026 96.5051894 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6528 8 8 0.0 0.0 39.91 0.002503 0.0023688 -0.0076546 0.0010343 0.0096295 0.9002231 0.0 1.8435176 0.1871193 96.993165 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6656 9 9 0.0 0.0 39.77 0.0025065 0.0022066 -0.0072032 0.0008929 0.0096146 0.907078 0.0 1.8381412 0.1930471 96.7674254 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6784 9 9 0.0 0.0 39.65 0.0025391 0.0023238 -0.0084591 0.0009792 0.0096039 0.9051109 0.0 1.8846253 0.2017352 96.8535441 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
6912 9 9 0.0 0.0 39.91 0.0023466 0.0023158 -0.0078973 0.0008074 0.0092115 0.9295354 0.0 1.912967 0.2200903 96.0745352 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
7040 9 9 0.0 0.0 39.87 0.0022696 0.0016923 -0.0067159 0.0006181 0.0089707 0.9304475 0.0 2.0460482 0.2292595 96.129001 0.0  {'room_id': 0, 'explored_rooms': 1, 'raw_score': 0.0} 
