128 0 0 0.0 0.0 101.45 0.0704495 0.0102546 0.0 0.0 -0.003879 0.1149376 1.58633 1.1270643 0.0324326 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 104.05 0.0485748 0.0211434 0.0 0.0 -0.0046488 0.0628208 1.6634679 1.0731671 0.027211 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
384 0 0 0.0 0.0 128.32 0.0408459 0.0239226 0.0 0.0 -0.0041757 0.0831902 1.6628999 1.009558 0.027245 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
512 0 0 0.0 0.0 126.75 0.0300645 0.0182138 0.0 0.0 -0.0045765 0.0902722 1.6641286 0.9704554 0.0271 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
640 0 0 0.0 0.0 130.91 0.0230198 0.0127034 0.0 0.0 -0.0054987 0.0877732 1.6436871 0.942482 0.0259897 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
768 0 0 0.0 0.0 144.57 0.0190662 0.0100695 0.0 0.0 -0.0064287 0.0822866 1.5805609 0.9254237 0.0247328 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
896 1 1 0.0 0.0 135.21 0.0169665 0.0091625 0.0 0.0 -0.0078807 0.0726452 1.5743225 0.9008439 0.0239858 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1024 1 1 0.0 0.0 134.96 0.0152436 0.0086229 0.0 0.0 -0.0083593 0.0646257 1.5746517 0.8866485 0.0229397 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1152 1 1 0.0 0.0 134.45 0.0145772 0.008165 0.0 0.0 -0.0078747 0.053689 1.5722995 0.8677935 0.0222631 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1280 1 1 0.0 0.0 143.3 0.0132016 0.0079317 0.0 0.0 -0.0089055 0.0494536 1.5727044 0.8598625 0.0212093 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1408 1 1 0.0 0.0 136.56 0.0138073 0.0094528 0.0 0.0 -0.0099613 0.0403786 1.5724968 0.852235 0.0213942 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1536 1 1 0.0 0.0 134.19 0.0123161 0.0076517 0.0 0.0 -0.0110431 0.033572 1.5737956 0.8428853 0.0212013 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1664 1 1 0.0 0.0 132.56 0.0138419 0.0187924 0.0 0.0 -0.0097109 0.0404703 1.5711117 0.8318464 0.0214483 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1792 2 2 0.0 0.0 144.26 0.0126507 0.0132885 0.0 0.0 -0.012346 0.0291864 1.5738644 0.8377393 0.0198858 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1920 2 2 0.0 0.0 136.83 0.0122346 0.0146282 0.0 0.0 -0.0076795 0.0329326 1.5721184 0.827455 0.0191899 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2048 2 2 0.0 0.0 134.57 0.0110381 0.0091939 0.0 0.0 -0.013443 0.0250342 1.5714339 0.8166231 0.0190639 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
