128 0 0 0.0 0.0 185.07 0.0092769 0.9255956 -4e-07 13.5024396  {'room_id': 0, 'visited_rooms': 1} 
256 0 0 0.0 0.0 156.13 0.004756 0.9763329 0.0059552 12.1594419  {'room_id': 0, 'visited_rooms': 1} 
384 1 1 0.0 0.0 158.07 0.0028367 0.7736553 0.0104824 6.6617453  {'room_id': 0, 'visited_rooms': 1} 
512 1 1 0.0 0.0 159.56 0.0021519 0.6051539 0.0106516 3.2370262  {'room_id': 0, 'visited_rooms': 1} 
640 1 1 0.0 0.0 161.89 0.0017519 0.5029391 0.0097878 1.2568923  {'room_id': 0, 'visited_rooms': 1} 
768 1 1 0.0 0.0 163.84 0.0015472 0.4463102 0.0087143 0.0245602  {'room_id': 0, 'visited_rooms': 1} 
896 1 1 0.0 0.0 166.23 0.0013563 0.402281 0.0191947 -0.9259991  {'room_id': 0, 'visited_rooms': 1} 
1024 2 2 0.0 0.0 167.26 0.0012026 0.354743 0.0343084 -1.1739627  {'room_id': 0, 'visited_rooms': 1} 
1152 2 2 0.0 0.0 168.67 0.0011117 0.3272623 0.0200714 -1.5539566  {'room_id': 0, 'visited_rooms': 1} 
1280 2 2 0.0 0.0 169.94 0.0010081 0.2914249 0.0283882 -1.7588242  {'room_id': 0, 'visited_rooms': 1} 
1408 2 2 0.0 0.0 169.31 0.0008915 0.2570538 0.0240919 -1.7563873  {'room_id': 0, 'visited_rooms': 1} 
1536 3 3 0.0 0.0 168.89 0.0008259 0.2338055 0.0282136 -1.8594104  {'room_id': 0, 'visited_rooms': 1} 
1664 3 3 0.0 0.0 168.68 0.0007565 0.2150748 0.0096744 -2.0367274  {'room_id': 0, 'visited_rooms': 1} 
1792 3 3 0.0 0.0 168.67 0.000698 0.1973945 0.0052928 -1.7549497  {'room_id': 0, 'visited_rooms': 1} 
1920 3 3 0.0 0.0 169.34 0.0006292 0.1803794 0.0006775 -1.5338356  {'room_id': 0, 'visited_rooms': 1} 
2048 3 3 0.0 0.0 169.55 0.000611 0.1735144 0.0014642 -1.3674948  {'room_id': 0, 'visited_rooms': 1} 
2176 3 3 0.0 0.0 169.22 0.0005559 0.1586502 0.0114883 -1.3846431  {'room_id': 0, 'visited_rooms': 1} 
2304 4 4 0.0 0.0 168.5 0.0005154 0.1460488 0.0115968 -1.3927251  {'room_id': 0, 'visited_rooms': 1} 
2432 4 4 0.0 0.0 169.53 0.000476 0.131655 0.0109661 -1.3434842  {'room_id': 0, 'visited_rooms': 1} 
2560 4 4 0.0 0.0 169.05 0.0004366 0.1237072 0.0151989 -1.184392  {'room_id': 0, 'visited_rooms': 1} 
2688 4 4 0.0 0.0 169.07 0.0004514 0.1276024 0.0175333 -0.8934167  {'room_id': 0, 'visited_rooms': 1} 
2816 4 4 0.0 0.0 168.73 0.0004137 0.1170512 0.0173497 -0.7722866  {'room_id': 0, 'visited_rooms': 1} 
2944 4 4 0.0 0.0 169.02 0.0003975 0.1081827 0.0155805 -0.734632  {'room_id': 0, 'visited_rooms': 1} 
3072 5 5 0.0 0.0 169.1 0.000387 0.1076603 0.017194 -0.6736161  {'room_id': 0, 'visited_rooms': 1} 
3200 5 5 0.0 0.0 169.11 0.0003905 0.1129085 0.0164078 -0.632075  {'room_id': 0, 'visited_rooms': 1} 
3328 5 5 0.0 0.0 168.86 0.0003741 0.1067498 0.0233672 -0.6209053  {'room_id': 0, 'visited_rooms': 1} 
3456 5 5 0.0 0.0 169.79 0.0003385 0.097729 0.0233694 -0.7066259  {'room_id': 0, 'visited_rooms': 1} 
3584 6 6 0.0 0.0 170.11 0.0003279 0.094235 0.0194324 -0.5644451  {'room_id': 0, 'visited_rooms': 1} 
3712 6 6 0.0 0.0 169.47 0.0003244 0.090478 0.0204851 -0.629796  {'room_id': 0, 'visited_rooms': 1} 
3840 7 7 0.0 0.0 169.67 0.0003031 0.086805 0.0179146 -0.630241  {'room_id': 0, 'visited_rooms': 1} 
3968 7 7 0.0 0.0 169.21 0.0002863 0.080812 0.0164025 -0.6140717  {'room_id': 0, 'visited_rooms': 1} 
4096 7 7 0.0 0.0 169.53 0.0002795 0.0806539 0.0120818 -0.5004638  {'room_id': 0, 'visited_rooms': 1} 
4224 7 7 0.0 0.0 169.98 0.0002691 0.0738359 0.0157182 -0.4110157  {'room_id': 0, 'visited_rooms': 1} 
4352 8 8 0.0 0.0 169.6 0.000271 0.0770285 0.0155297 -0.3137654  {'room_id': 0, 'visited_rooms': 1} 
4480 8 8 0.0 0.0 169.48 0.0002526 0.0703073 0.0154164 -0.3881898  {'room_id': 0, 'visited_rooms': 1} 
4608 8 8 0.0 0.0 169.83 0.0002528 0.0720152 0.015353 -0.3526375  {'room_id': 0, 'visited_rooms': 1} 
4736 9 9 0.0 0.0 169.66 0.000243 0.069324 0.0108752 -0.2437535  {'room_id': 0, 'visited_rooms': 1} 
4864 9 9 0.0 0.0 169.48 0.0002257 0.0635741 0.0114169 -0.361992  {'room_id': 0, 'visited_rooms': 1} 
4992 9 9 0.0 0.0 169.58 0.0002207 0.0616404 0.0067934 -0.2188979  {'room_id': 0, 'visited_rooms': 1} 
5120 9 9 0.0 0.0 167.66 0.0002237 0.0632027 0.0077692 -0.2250679  {'room_id': 0, 'visited_rooms': 1} 
5248 10 10 0.0 0.0 168.63 0.0002081 0.0602189 0.0076658 -0.2358805  {'room_id': 0, 'visited_rooms': 1} 
5376 10 10 0.0 0.0 168.93 0.0002004 0.0573321 0.0079861 -0.2091605  {'room_id': 0, 'visited_rooms': 1} 
5504 11 11 0.0 0.0 169.4 0.0001965 0.0563611 0.005498 -0.2027794  {'room_id': 0, 'visited_rooms': 1} 
5632 11 11 0.0 0.0 168.58 0.0001899 0.0548845 0.0049553 -0.1823831  {'room_id': 0, 'visited_rooms': 1} 
5760 12 12 0.0 0.0 169.45 0.0001837 0.0519984 0.0045132 -0.1896065  {'room_id': 0, 'visited_rooms': 1} 
5888 12 12 0.0 0.0 168.32 0.0001763 0.0500736 0.004549 -0.1944175  {'room_id': 0, 'visited_rooms': 1} 
6016 12 12 0.0 0.0 169.14 0.0001756 0.0495355 0.0048415 -0.1577389  {'room_id': 0, 'visited_rooms': 1} 
6144 13 13 0.0 0.0 169.94 0.0001626 0.0466722 0.0040527 -0.1492318  {'room_id': 0, 'visited_rooms': 1} 
6272 13 13 0.0 0.0 168.91 0.0001633 0.0464322 0.0037348 -0.1122099  {'room_id': 0, 'visited_rooms': 1} 
6400 13 13 0.0 0.0 169.04 0.0001591 0.0462524 0.0036612 -0.0906473  {'room_id': 0, 'visited_rooms': 1} 
6528 14 14 0.0 0.0 168.77 0.0001499 0.0425755 0.0029358 -0.0542944  {'room_id': 0, 'visited_rooms': 1} 
6656 14 14 0.0 0.0 169.15 0.000156 0.0452889 0.002399 -0.0342443  {'room_id': 0, 'visited_rooms': 1} 
6784 14 14 0.0 0.0 169.54 0.0001392 0.0404505 0.0020694 -0.0484415  {'room_id': 0, 'visited_rooms': 1} 
6912 15 15 0.0 0.0 169.23 0.0001382 0.0392974 0.0020949 -0.0501281  {'room_id': 0, 'visited_rooms': 1} 
7040 15 15 0.0 0.0 169.03 0.0001429 0.0408531 0.0021125 -0.0332785  {'room_id': 0, 'visited_rooms': 1} 
7168 15 15 0.0 0.0 169.53 0.0001346 0.0389328 0.0019437 -0.0509681  {'room_id': 0, 'visited_rooms': 1} 
7296 15 15 0.0 0.0 168.56 0.000131 0.0385307 0.0016238 -0.0414824  {'room_id': 0, 'visited_rooms': 1} 
7424 15 15 0.0 0.0 168.05 0.0001365 0.039577 0.0018598 -0.0104719  {'room_id': 0, 'visited_rooms': 1} 
7552 16 16 0.0 0.0 168.44 0.0001282 0.037301 0.0015478 -0.0198118  {'room_id': 0, 'visited_rooms': 1} 
7680 16 16 0.0 0.0 169.34 0.0001228 0.0350769 0.0019618 -0.0578372  {'room_id': 0, 'visited_rooms': 1} 
7808 16 16 0.0 0.0 169.39 0.0001159 0.0343962 0.0016854 -0.0541771  {'room_id': 0, 'visited_rooms': 1} 
7936 16 16 0.0 0.0 168.2 0.0001196 0.0343313 0.00174 -0.0353228  {'room_id': 0, 'visited_rooms': 1} 
