0 0.0 0.0 0.0 0.39 0.0153794 0.0 7.6e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 {} {'explored_rooms_count': 0, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.0} 
128 0.46094 0.0 0.0 6.5 0.7819154 0.0802976 8.35e-05 6.21e-05 -0.0026979 5.4695531 1.6414211 1.4132033 8.637896 0.1125788 0.615466 {} {'explored_rooms_count': 4, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.00014} 
256 0.75 0.0 0.0 5.43 0.1014255 0.0394769 0.0001293 8.29e-05 -0.0031941 1.1171473 1.6668785 1.4275386 15.2067729 0.0612039 0.5789841 {} {'explored_rooms_count': 6, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.00024} 
384 0.90625 0.0 0.0 5.31 0.029978 0.0164503 0.0001109 5.98e-05 -0.00238 0.4353878 1.6612591 1.434474 18.9939335 0.0393692 0.5518118 {} {'explored_rooms_count': 7, 'episodic_explored_rooms_count': 2, 'episodic_explored_area': 0.00036} 
512 0.95312 0.0 0.0 5.79 0.0170339 0.0080434 9.97e-05 3.94e-05 -0.001751 0.2062834 1.6610542 1.4539725 21.2676833 0.0265474 0.5405494 {} {'explored_rooms_count': 7, 'episodic_explored_rooms_count': 2, 'episodic_explored_area': 0.00039} 
640 1.01562 0.0 0.0 5.53 0.0129539 0.0065735 0.0001072 4.48e-05 -0.0025007 0.1521896 1.6606891 1.449898 22.3975838 0.0221977 0.5563333 {} {'explored_rooms_count': 7, 'episodic_explored_rooms_count': 2, 'episodic_explored_area': 0.00047} 
768 1.02344 0.0 0.0 5.84 0.010266 0.0051164 0.0001044 2.67e-05 -0.0042671 0.0911042 1.6590212 1.4438846 23.236274 0.0177194 0.5573729 {} {'explored_rooms_count': 7, 'episodic_explored_rooms_count': 2, 'episodic_explored_area': 0.00045} 
896 1.05469 0.0 0.0 5.94 0.0102427 0.0058017 0.0001105 3.19e-05 -0.0023676 0.0714978 1.6576853 1.4434709 23.7226978 0.0172479 0.5359044 {} {'explored_rooms_count': 7, 'episodic_explored_rooms_count': 2, 'episodic_explored_area': 0.00047} 
1024 1.14844 0.0 0.0 6.14 0.0107305 0.0094597 0.0001286 6.41e-05 -0.002507 0.0759933 1.6563991 1.4272342 24.7735333 0.0186336 0.5534884 {} {'explored_rooms_count': 7, 'episodic_explored_rooms_count': 2, 'episodic_explored_area': 0.00058} 
1152 1.19531 0.0 0.0 7.04 0.010231 0.0134094 0.0001299 4.51e-05 -0.0022998 0.0475797 1.6562124 1.4212696 26.9734168 0.0182564 0.5492916 {} {'explored_rooms_count': 7, 'episodic_explored_rooms_count': 2, 'episodic_explored_area': 0.00057} 
1280 1.29688 0.0 0.0 8.68 0.0112189 0.0126785 0.0001349 6.27e-05 -0.0021147 0.0487227 1.6575984 1.410995 28.8322403 0.0179864 0.5296875 {} {'explored_rooms_count': 7, 'episodic_explored_rooms_count': 2, 'episodic_explored_area': 0.0007} 
1408 1.49219 0.0 0.0 9.11 0.0105047 0.009766 0.0001526 8.39e-05 -0.00278 0.0537685 1.6572064 1.4187977 31.037182 0.0183144 0.5551307 {} {'explored_rooms_count': 7, 'episodic_explored_rooms_count': 2, 'episodic_explored_area': 0.00081} 
1536 1.64844 0.0 0.0 9.78 0.0103591 0.0101035 0.0001466 8.06e-05 -0.0048187 0.0407409 1.6586473 1.4486215 32.1915622 0.0183219 0.5988466 {} {'explored_rooms_count': 8, 'episodic_explored_rooms_count': 2, 'episodic_explored_area': 0.00088} 
1664 1.76562 0.0 0.0 10.54 0.010788 0.0136646 0.0001426 8.14e-05 -0.0020022 0.0348237 1.6236284 1.4439854 32.5400343 0.0177718 0.6065899 {} {'explored_rooms_count': 8, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.001} 
1792 1.95312 0.0 0.0 11.27 0.0109176 0.0118488 0.0001619 0.000116 -0.0031169 0.0339936 1.5761046 1.4693754 32.9217094 0.0179233 0.638603 {} {'explored_rooms_count': 8, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00132} 
1920 2.25 0.0 0.0 9.07 0.0136574 0.0182725 0.000173 0.0001484 -0.0040404 0.0454177 1.5734418 1.5057429 30.3346264 0.0206747 0.6801024 {} {'explored_rooms_count': 8, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00158} 
2048 2.60156 0.0 0.0 10.33 0.0132089 0.0148922 0.0001928 0.0001616 -0.0038847 0.0593645 1.5714885 1.5754237 23.9123439 0.0202997 0.7403006 {} {'explored_rooms_count': 9, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00192} 
