0 0.0 0.0 0.0 0.38 0.0188243 0.0 0.0002 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 {} {'explored_rooms_count': 0, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.0} 
128 0.5 0.0 0.0 6.54 0.8816307 0.0415607 0.0075725 0.0014593 -0.0026939 7.1289068 1.6600928 1.3113465 0.5327587 0.1280986 0.6251779 {} {'explored_rooms_count': 4, 'episodic_explored_rooms_count': 2, 'episodic_explored_area': 0.00014} 
256 0.75781 0.0 0.0 5.55 0.1181997 0.0371204 0.0056171 0.0028513 -0.0049308 1.4329497 1.6658606 1.3694661 0.6540416 0.0852407 0.6002157 {} {'explored_rooms_count': 7, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00022} 
384 0.92188 0.0 0.0 5.51 0.0439255 0.0314691 0.0052229 0.002825 -0.0024507 0.6116983 1.6623783 1.3609847 0.6729877 0.0613351 0.5694172 {} {'explored_rooms_count': 8, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00036} 
512 0.95312 0.0 0.0 5.4 0.0263833 0.0156616 0.0054044 0.002661 -0.001728 0.2837421 1.6576773 1.3694015 0.683861 0.0425873 0.5553022 {} {'explored_rooms_count': 8, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00042} 
640 0.96094 0.0 0.0 5.36 0.0208724 0.0105032 0.0057887 0.002634 -0.0036014 0.173126 1.6558853 1.3629053 0.6811887 0.0329857 0.5588175 {} {'explored_rooms_count': 8, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00043} 
768 0.96875 0.0 0.0 5.64 0.0194351 0.0122712 0.0059997 0.0025878 -0.0054055 0.1226859 1.6559961 1.352137 0.6743944 0.0283391 0.5599428 {} {'explored_rooms_count': 8, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00043} 
896 1.09375 0.0 0.0 5.13 0.0206087 0.0193526 0.0047705 0.0028764 -0.0033663 0.193932 1.656281 1.338743 0.6674806 0.0332841 0.5739053 {} {'explored_rooms_count': 8, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00061} 
1024 1.22656 0.0 0.0 5.05 0.0228558 0.0192617 0.0051537 0.0028875 -0.0039579 0.1741897 1.6570559 1.314086 0.6573393 0.0364486 0.5962831 {} {'explored_rooms_count': 8, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00084} 
1152 1.52344 0.0 0.0 5.34 0.0279826 0.0221785 0.0051 0.0029591 -0.0028894 0.231938 1.6600139 1.2889118 0.6207947 0.0387336 0.6343486 {} {'explored_rooms_count': 9, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00116} 
1280 2.02344 0.0 0.0 5.52 0.024904 0.0341385 0.0052963 0.0028932 -0.0037971 0.2468485 1.6630717 1.2764351 0.5284828 0.0341334 0.7085131 {} {'explored_rooms_count': 9, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.0016} 
1408 2.32812 0.0 0.0 5.23 0.0165324 0.018303 0.0051373 0.002836 -0.0040368 0.1532148 1.657355 1.2644691 0.4998186 0.0261197 0.7374555 {} {'explored_rooms_count': 9, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00165} 
1536 2.46094 0.0 0.0 5.06 0.0109706 0.0096142 0.0051249 0.0028872 -0.0017594 0.0771969 1.6089004 1.2605492 0.5517538 0.0181424 0.6977753 {} {'explored_rooms_count': 10, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00169} 
1664 2.58594 0.0 0.0 5.05 0.0082966 0.0083838 0.0049903 0.002714 -0.002587 0.0545484 1.5953842 1.2508895 0.5793604 0.0144155 0.6669705 {} {'explored_rooms_count': 10, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00171} 
1792 2.65625 0.0 0.0 5.01 0.0067427 0.0058724 0.004587 0.0026435 -0.0023715 0.0430179 1.5788409 1.2520578 0.6059971 0.0120282 0.6484805 {} {'explored_rooms_count': 10, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.0017} 
1920 2.72656 0.0 0.0 5.33 0.0063633 0.0059367 0.0047166 0.0025015 -0.0026395 0.0315101 1.5726361 1.2646954 0.6316893 0.0113845 0.6262253 {} {'explored_rooms_count': 10, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00165} 
2048 2.74219 0.0 0.0 5.12 0.0053985 0.0053388 0.0049497 0.0022889 -0.0035447 0.0190721 1.5712807 1.2603663 0.6508987 0.0100066 0.6116392 {} {'explored_rooms_count': 10, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00167} 
2176 2.80469 0.0 0.0 5.16 0.0053982 0.0046616 0.0058726 0.0023798 -0.0030049 0.0176528 1.570087 1.2555326 0.6306942 0.009882 0.6336269 {} {'explored_rooms_count': 10, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00163} 
2304 2.875 0.0 0.0 5.16 0.0051823 0.0034621 0.0052874 0.002326 -0.0019723 0.0155217 1.5699631 1.2569822 0.6348492 0.0095683 0.6312072 {} {'explored_rooms_count': 10, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00166} 
2432 3.01562 0.0 0.0 5.22 0.0065003 0.0105118 0.0047059 0.00221 -0.0027076 0.0182147 1.5701906 1.2572662 0.629499 0.0106713 0.6337187 {} {'explored_rooms_count': 10, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00159} 
2560 3.17969 0.0 0.0 5.41 0.0068943 0.008734 0.0051676 0.0022571 -0.0033056 0.0191954 1.5350283 1.2517714 0.6202452 0.0120338 0.6355228 {} {'explored_rooms_count': 10, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00156} 
2688 3.35156 0.0 0.0 5.37 0.0070994 0.0067432 0.0053133 0.0022592 -0.0033295 0.0197223 1.5218872 1.2565732 0.6213038 0.0126785 0.635942 {} {'explored_rooms_count': 10, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00154} 
2816 3.50781 0.0 0.0 5.23 0.0096649 0.0095232 0.0052441 0.0023933 -0.004803 0.0230292 1.5200691 1.2665596 0.6075802 0.0156692 0.6590583 {} {'explored_rooms_count': 10, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00154} 
