128 0 0 0.0 0.0 82.22 0.0501606 0.0207529  {'frags': 0, 'damage': 0} 
256 1 1 -0.202000001037959 -0.202000001037959 86.42 0.1287882 0.0544379  {'frags': 0, 'damage': 0} 
384 1 1 -0.202000001037959 -0.202000001037959 84.29 0.1072677 0.0421345  {'frags': 0, 'damage': 1} 
512 2 2 -0.3819500064768363 -0.3819500064768363 82.88 0.0998999 0.0369856  {'frags': 0, 'damage': 1} 
640 2 2 -0.3819500064768363 -0.3819500064768363 84.75 0.1058229 0.0378407  {'frags': 0, 'damage': 2} 
768 3 3 -0.5336049999395619 -0.5336049999395619 85.91 0.0917063 0.0365906  {'frags': 0, 'damage': 1} 
896 3 3 -0.5336049999395619 -0.5336049999395619 86.0 0.097997 0.0341349  {'frags': 0, 'damage': 2} 
1024 4 4 -0.671194507100212 -0.671194507100212 85.78 0.075139 0.033223  {'frags': 0, 'damage': 1} 
1152 4 4 -0.671194507100212 -0.671194507100212 85.64 0.0748441 0.0319285  {'frags': 0, 'damage': 1} 
1280 5 5 -0.7850250565622061 -0.7850250565622061 85.36 0.0588319 0.0270225  {'frags': 0, 'damage': 1} 
1408 5 5 -0.7850250565622061 -0.7850250565622061 83.89 0.0583225 0.0297227  {'frags': 0, 'damage': 2} 
1536 6 6 -0.8830725499144063 -0.8830725499144063 86.28 0.03373 0.0223171  {'frags': 0, 'damage': 1} 
1664 6 6 -0.8830725499144063 -0.8830725499144063 83.55 0.0328304 0.0228216  {'frags': 0, 'damage': 1} 
1792 7 7 -0.9616152973938576 -0.9616152973938576 86.12 0.0334932 0.0206661  {'frags': 0, 'damage': 1} 
1920 7 7 -0.9616152973938576 -0.9616152973938576 85.15 0.0194179 0.0185028  {'frags': 0, 'damage': 1} 
2048 8 8 -1.039203771477551 -1.039203771477551 85.15 0.0212907 0.0196378  {'frags': 0, 'damage': 1} 
2176 8 8 -1.039203771477551 -1.039203771477551 86.22 0.0177011 0.0201838  {'frags': 0, 'damage': 1} 
2304 8 8 -1.039203771477551 -1.039203771477551 85.68 0.0089696 0.0178818  {'frags': 0, 'damage': 1} 
2432 9 9 -1.1016833916162945 -1.1016833916162945 84.64 0.0058008 0.0190726  {'frags': 0, 'damage': 1} 
2560 10 10 -1.153165051523715 -1.153165051523715 85.85 0.0131317 0.0208751  {'frags': 0, 'damage': 1} 
2688 10 10 -1.153165051523715 -1.153165051523715 82.57 0.0017037 0.020168  {'frags': 0, 'damage': 1} 
2816 10 10 -1.153165051523715 -1.153165051523715 86.02 0.0053542 0.0210789  {'frags': 0, 'damage': 1} 
2944 10 10 -1.153165051523715 -1.153165051523715 84.78 0.0035533 0.0202257  {'frags': 0, 'damage': 1} 
